timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755807266423,4313,REST Request,201,,REST Request 1-1,text,true,,420,718,1,1,http://localhost:8081/auth-rest-application/v1/createUser,4313,0,74
1755807270736,3206,REST Request,201,,REST Request 1-1,text,true,,420,718,1,1,http://localhost:8081/auth-rest-application/v1/createUser,3205,0,0
1755807273942,3004,REST Request,201,,REST Request 1-1,text,true,,420,718,1,1,http://localhost:8081/auth-rest-application/v1/createUser,3004,0,0
1755807276946,2801,REST Request,201,,REST Request 1-1,text,true,,420,718,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2801,0,0
1755807279749,2900,REST Request,201,,REST Request 1-1,text,true,,420,718,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2899,0,0
1755807282648,2866,REST Request,201,,REST Request 1-1,text,true,,420,718,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2866,0,0
1755807285515,2605,REST Request,201,,REST Request 1-1,text,true,,420,718,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2605,0,0
1755807288122,3382,REST Request,201,,REST Request 1-1,text,true,,420,718,1,1,http://localhost:8081/auth-rest-application/v1/createUser,3382,0,0
1755807291505,2918,REST Request,201,,REST Request 1-1,text,true,,420,718,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2918,0,0
1755807294423,2820,REST Request,201,,REST Request 1-1,text,true,,421,720,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2820,0,0
1755807297243,2705,REST Request,201,,REST Request 1-1,text,true,,421,720,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2705,0,0
1755807299949,2941,REST Request,201,,REST Request 1-1,text,true,,421,720,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2941,0,0
1755807302891,2930,REST Request,201,,REST Request 1-1,text,true,,421,720,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2930,0,0
1755807305821,2846,REST Request,201,,REST Request 1-1,text,true,,421,720,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2845,0,0
1755807308667,3089,REST Request,201,,REST Request 1-1,text,true,,421,720,1,1,http://localhost:8081/auth-rest-application/v1/createUser,3088,0,0
1755807311756,2754,REST Request,201,,REST Request 1-1,text,true,,421,720,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2753,0,0
1755807314510,2783,REST Request,201,,REST Request 1-1,text,true,,421,720,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2783,0,0
1755807317293,2844,REST Request,201,,REST Request 1-1,text,true,,421,720,1,1,http://localhost:8081/auth-rest-application/v1/createUser,2844,0,0
